rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
710502000000,,35524,,710,502000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.972321212137672e-15, -1.432834631650247e-13]","[0.651903209712037, 0.6119768715767826]"
710522000000,,35525,,710,522000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.189080331471837e-15, -1.4308372601979855e-13]","[0.651903209712037, 0.6119768715767826]"
710542000000,,35526,,710,542000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.178848815998703e-15, -1.5943680159750603e-13]","[0.6519032097120636, 0.6119768715767826]"
710562000000,,35527,,710,562000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.745940441052397e-15, -1.5897266819999215e-13]","[0.6519032097120636, 0.6119768715767826]"
710582000000,,35528,,710,582000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.65409464325087e-15, -1.5783290066616676e-13]","[0.6519032097120636, 0.6119768715767826]"
710602000000,,35529,,710,602000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.90424041323401e-15, -1.580678676057351e-13]","[0.6519032097120636, 0.6119768715767826]"
710622000000,,35530,,710,622000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.408740012882249e-15, -1.4176692182373343e-13]","[0.651903209712037, 0.6119768715767826]"
710642000000,,35531,,710,642000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.940872894136863e-15, -1.4226677290656714e-13]","[0.651903209712037, 0.6119768715767826]"
710662000000,,35532,,710,662000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.81258350377972e-15, -1.434343095685353e-13]","[0.651903209712037, 0.6119768715767826]"
710682000000,,35533,,710,682000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.026104416156531e-15, -1.4323488413143376e-13]","[0.651903209712037, 0.6119768715767826]"
710702000000,,35534,,710,702000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.243920632608869e-15, -1.4303322252735146e-13]","[0.651903209712037, 0.6119768715767826]"
710722000000,,35535,,710,722000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.236589357947134e-15, -1.5949074743185077e-13]","[0.6519032097120636, 0.6119768715767826]"
