rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
11788000000,,585,,11,788000000,'',"[joint_1, joint_2]","[5.861921445797806, 0.6691697989025558]","[0.004158469714841245, -5.8047907017307054e-05]","[2.2700467107142432, 0.5929293760746833]"
11808000000,,586,,11,808000000,'',"[joint_1, joint_2]","[5.862004465210239, 0.669168639799909]","[0.004144193881358462, -5.787101413276801e-05]","[2.2701006040321534, 0.592919731617806]"
11828000000,,587,,11,828000000,'',"[joint_1, joint_2]","[5.8620871996447494, 0.6691674842461603]","[0.004129969270923522, -5.769310650583382e-05]","[2.2701542473250416, 0.5929100862023354]"
11848000000,,588,,11,848000000,'',"[joint_1, joint_2]","[5.862169650120143, 0.6691663322592047]","[0.00411579534812857, -5.7514411397723876e-05]","[2.270207643825476, 0.5929004412070231]"
11868000000,,589,,11,868000000,'',"[joint_1, joint_2]","[5.862251817644724, 0.6691651838524963]","[0.004101671596625079, -5.7335145044331084e-05]","[2.2702607967899273, 0.5928907980320446]"
11888000000,,590,,11,888000000,'',"[joint_1, joint_2]","[5.862333703216666, 0.6691640390352935]","[0.004087597519269327, -5.7155512517267915e-05]","[2.270313709486855, 0.5928811580916775]"
11908000000,,591,,11,908000000,'',"[joint_1, joint_2]","[5.8624153078243975, 0.6691628978128632]","[0.004073572638179956, -5.6975707644494125e-05]","[2.2703663851856297, 0.5928715228065543]"
11928000000,,592,,11,928000000,'',"[joint_1, joint_2]","[5.862496632447, 0.669161760186717]","[0.004059596494723645, -5.679591299277958e-05]","[2.2704188271459844, 0.5928618935976228]"
11948000000,,593,,11,948000000,'',"[joint_1, joint_2]","[5.86257767805458, 0.6691606261548317]","[0.004045668649462473, -5.6616299903345865e-05]","[2.270471038607869, 0.5928522718798686]"
11968000000,,594,,11,968000000,'',"[joint_1, joint_2]","[5.862658445608652, 0.66915949571188]","[0.004031788681919631, -5.6437028532065926e-05]","[2.2705230227829416, 0.5928426590562899]"
11988000000,,595,,11,988000000,'',"[joint_1, joint_2]","[5.862738936062526, 0.6691583688494385]","[0.00401795619043452, -5.62582480006504e-05]","[2.2705747828461997, 0.5928330565131903]"
12008000000,,596,,12,8000000,'',"[joint_1, joint_2]","[5.862819150361666, 0.6691572455562236]","[0.004004170791809134, -5.60800965036792e-05]","[2.2706263219280896, 0.5928234656148619]"
12028000000,,597,,12,28000000,'',"[joint_1, joint_2]","[5.862899089444067, 0.6691561258182999]","[0.003990432121019332, -5.5902701525818374e-05]","[2.2706776431080113, 0.5928138876994745]"
12048000000,,598,,12,48000000,'',"[joint_1, joint_2]","[5.862978754240612, 0.6691550096192875]","[0.003976739830799043, -5.57261800332191e-05]","[2.2707287494078834, 0.5928043240747679]"
12067000000,,599,,12,68000000,'',"[joint_1, joint_2]","[5.863058145675418, 0.6691538969405846]","[0.0039630935912247384, -5.5550638735469594e-05]","[2.2707796437868266, 0.5927947760149995]"
12088000000,,600,,12,88000000,'',"[joint_1, joint_2]","[5.863137264666185, 0.6691527877615497]","[0.003949493089224489, -5.537617433438134e-05]","[2.2708303291359653, 0.5927852447571149]"
